puzzle,solution
002400607000100208709006004103500060400001072097002410204010906005923701071800023,512438697346179258789256134123547869458691372697382415234715986865923741971864523
076305028100468000008279136010030097360897204089120060500601902000902703090750641,976315428123468579458279136214536897365897214789124365537641982641982753892753641
305879460046235009080146005210057690057698123608310507531904806802560914904701352,325879461146235789789146235213457698457698123698312547531924876872563914964781352
160038070045127689780056023010049700456701300807260514520690837004802951078305246,162938475345127689789456123213549768456781392897263514521694837634872951978315246
054309060036208459789056023310040690465001072897603014520734906670905241900162730,254319867136278459789456123312547698465891372897623514521734986673985241948162735
068315270023470508579000130004036007306000400090004050631002905705981000080653741,468315279123479568579268134214536897356897412897124356631742985745981623982653741
507049002020308079000100000000065700400001036000200050000506007001004520970000060,537649812124358679689127345213465798458791236796283154342516987861974523975832461
421065780300789124089004306002400807507891263690230405010643070060072541070018632,421365789356789124789124356132456897547891263698237415215643978863972541974518632
109004507234057089078209000312475890050001203897603415003748051745902368981536740,169384527234157689578269134312475896456891273897623415623748951745912368981536742
009053000030260009560000200000500800056008120790012000021904008003605971900001002,289453716134267589567189234312546897456798123798312465621974358843625971975831642
020009500450128079080000000032450807040000063000000000005603900000014000074082001,321769548456128379789345126132456897547891263698237415215673984863914752974582631
810006040034050600560308120003400090408019036006000000045081070600074010000000800,817296345234157689569348127123465798458719236796823451345681972682974513971532864
467123805020009460089467123000356789056008214708014306600845972045902001902631000,467123895123589467589467123214356789356798214798214356631845972845972631972631548
000700003135040070009000020300000090006009031890023065500030000640080000978512346,264791853135248679789356124312465798456879231897123465521634987643987512978512346
007054080300689127089127340103005790056098213798013564530042009072000001060501002,217354986345689127689127345123465798456798213798213564531842679872936451964571832
000789005200130000789205000000407000407098013600010540030860070800000300074523060,316789425245136789789245136123457698457698213698312547531864972862971354974523861
501030000000060009000250000120540000400091260000302005000000906700000040905623781,571439628234168579689257134123546897457891263896372415312784956768915342945623781
843500271000347609009128305214005790357890426908204053431902867082716934706483502,843569271125347689679128345214635798357891426968274153431952867582716934796483512
024019358035240600700350124200400897406807200897100405340572080562980730078601042,624719358135248679789356124213465897456897213897123465341572986562984731978631542
659107832103568470478009156214050790367801205090400301031624987702985003086713500,659147832123568479478239156214356798367891245895472361531624987742985613986713524
908465021103780056406120089014056807365090040789214563531642078047938210002501034,978465321123789456456123789214356897365897142789214563531642978647938215892571634
410000730205047609789350104023465800547008016098710050351024008874539061960871543,416982735235147689789356124123465897547298316698713452351624978874539261962871543
526093870104278569009456003203547698050689030098312007300725986002031045970804302,526193874134278569789456123213547698457689231698312457341725986862931745975864312
004061009020079060000030107000307896300000700700156000401000902057003080080014003,874561239123479568569238147215347896346892715798156324431685972657923481982714653
450028600120007080709050000004530068000780402007004103530002000002810005900075020,453928617126347589789156234214539768365781492897264153531492876672813945948675321
193000000045138079600059134000060000456097203009312405021083900800071000900524000,193746852245138679678259134312465798456897213789312465521683947834971526967524381
340800519056039408709000200213056007000798003897302605000670984004981700970520001,342867519156239478789145236213456897465798123897312645521673984634981752978524361
400800000200009578780206134000465000540090610098702040301020006860007920000081050,415873269236149578789256134123465897547398612698712345351924786864537921972681453
002900006134056089009008024010460807006780003700020405020007600005001900080000350,872914536134256789569378124213465897456789213798123465321597648645831972987642351
