puzzle,solution
020830067035007089008009000013546000006000200897123605050682974782914306000005812,429831567135267489678459123213546798546798231897123645351682974782914356964375812
080002415000350709079008000203460090450019062090207050035620000001974503000003000,386792415124356789579148236213465897457819362698237154735621948861974523942583671
032418056100260078609350124200506709457090260896720405320084590504972801978035640,732418956145269378689357124213546789457891263896723415321684597564972831978135642
907052306123467089068139240214005690056910472709040105002581903035794801091620050,947852316123467589568139247214375698356918472789246135472581963635794821891623754
406030589235080007789056123023008006547602310098301000001860972802900054064005031,416237589235189467789456123123548796547692318698371245351864972872913654964725831
600408290023009400000000056200000700307001620000204035001002000000015000908740002,675438291123569478489127356214356789357891624896274135531682947742915863968743512
495023168120460570678059234210375896306000427089240015531687902047910600962530780,495723168123468579678159234214375896356891427789246315531687942847912653962534781
346708215120340780089125346213050008457609003698213407031862074862974031970530862,346798215125346789789125346213457698457689123698213457531862974862974531974531862
001804759345009008780206000132405800400008312890012046000047005560901403074583001,621834759345179268789256134132465897456798312897312546213647985568921473974583621
403009000200000000789000123000000008060090210800214300030002070008000900000680500,413829657256137489789456123124365798365798214897214365531942876648571932972683541
003020050240139670000000103012047860050891037090003010000004000060015302034602000,183726954245139678679458123312547869456891237798263415521384796867915342934672581
840065010120079400079148030000500897000007120000000300000000980580004000000780000,843265719125379468679148235214536897356897124798412356437651982581924673962783541
050894320003000009000100567204006098005709040090240635032410906001072053000005014,756894321123567489489123567214356798365789142897241635532418976641972853978635214
058194362123507089400038050214356790070489216896012504080041903637025041941003625,758194362123567489469238157214356798375489216896712534582641973637925841941873625
810006903030100078560008124100005709058791006700820010040000597085900342072534801,817246953234159678569378124123465789458791236796823415341682597685917342972534861
005274610100368579670050204013085706400701082089023140501842967000907453947000820,395274618124368579678159234213485796456791382789623145531842967862917453947536821
300045610120000500060029300200000897400007003700210056030572084000031000000604201,389745612124368579567129348213456897456897123798213456631572984842931765975684231
028361495034059608569478003010546789000097030897120506301680957670935014085704362,728361495134259678569478123213546789456897231897123546341682957672935814985714362
500000001120409670009100340000065089000098010000200006000671890060900000971500003,547836921123459678689127345214365789356798214798214536435671892862943157971582463
001008407246037509009456023100549600400002001090371200312790056070200010964010000,531928467246137589789456123123549678457682391698371245312794856875263914964815732
067000090000509000589207104312000000400098002098000000000300070800070021975012640,267431895134589267589267134312645789456798312798123456621354978843976521975812643
237108645145036009089457003302040867056080092798062051521674908063010204004803016,237198645145236789689457123312549867456781392798362451521674938863915274974823516
763905100124360509509124307205400798306790215897050436430079050651840970978503004,763985142124367589589124367215436798346798215897251436432679851651842973978513624
759301400120008070468000130200536008305804206096020354031680907040010820080700061,759361482123458679468279135214536798375894216896127354531682947647915823982743561
000502800234078009008000024100050000000003200000017300041685902000000080000000600,916542837234178569578369124123456798457893216689217345341685972765921483892734651
500007106104360570600150204013470008450000307890023415041786952700912843080504701,539247186124368579678159234213475698456891327897623415341786952765912843982534761
