puzzle,solution
902700008035260000678140005213000800400807123789302546327081064001904080894603701,942735618135268479678149235213456897456897123789312546327581964561974382894623751
891200467130260479678040230003406807006807003780010006327000960001074002894620700,891235467135268479678149235213456897456897123789312546327581964561974382894623751
286197453135068479678109235210456897456897123089312506320580964061070382894623750,286197453135268479678149235213456897456897123789312546327581964561974382894623751
691784253135068009608149235013456897456097003709300506327580964561904082890620751,691784253135268479678149235213456897456897123789312546327581964561974382894623751
127586493105268479070109235210056897006807003780010546027581000001970002000620000,127586493135268479678149235213456897456897123789312546327581964561974382894623751
562314789105268079608149235000056097056097123789312546027581964560974380890620751,562314789135268479678149235213456897456897123789312546327581964561974382894623751
418673295100068009078000205210050890456807123000002500007500060001000300804623051,418673295135268479678149235213456897456897123789312546327581964561974382894623751
674839512105208409670149205000450897400807103089002546007580900001000302804023001,674839512135268479678149235213456897456897123789312546327581964561974382894623751
396572184130260409608109035013050000406000100009002540300580964501074082090623001,396572184135268479678149235213456897456897123789312546327581964561974382894623751
428596731030068470008049035013056807400097003089010046320500060001974080804020701,428596731135268479678149235213456897456897123789312546327581964561974382894623751
859237406105208470008140030200056090050897120709312546307580960500000000894020701,859237416135268479678149235213456897456897123789312546327581964561974382894623751
754981023105008079070149235010050007450897123789000000307081960060904002004620701,754981623135268479678149235213456897456897123789312546327581964561974382894623751
376492508135268079678149005203456890456897003709312506327581064561974382090623701,376492518135268479678149235213456897456897123789312546327581964561974382894623751
416390720130068479670149230210050890406097020080300006300580000561904380804623751,416395728135268479678149235213456897456897123789312546327581964561974382894623751
279648513035268479678149235203456807450897123789000546307581900561900302894623001,279648513135268479678149235213456897456897123789312546327581964561974382894623751
061723548100260400600140005013050800056890003009002546000580060561904300890023701,961723548135268479678149235213456897456897123789312546327581964561974382894623751
835194267135260070678149235213456807406897023789302546327081964561074082800603051,835194267135268479678149235213456897456897123789312546327581964561974382894623751
471683952130068409678009205213400807406897123780012500327080904561070302890603751,471683952135268479678149235213456897456897123789312546327581964561974382894623751
